  0.0	  2.0	0.38456	0.00148
  2.0	  4.0	0.39443	0.00139
  4.0	  6.0	0.40142	0.00136
  6.0	  8.0	0.39878	0.00133
  8.0	 10.0	0.39524	0.00132
 10.0	 12.0	0.39270	0.00133
 12.0	 14.0	0.38234	0.00132
 14.0	 16.0	0.37501	0.00133
 16.0	 18.0	0.36144	0.00134
 18.0	 20.0	0.35174	0.00136
 20.0	 22.0	0.33689	0.00137
 22.0	 24.0	0.32325	0.00142
 24.0	 26.0	0.30893	0.00143
 26.0	 28.0	0.29410	0.00144
 28.0	 30.0	0.27753	0.00147
 30.0	 32.0	0.25903	0.00151
 32.0	 34.0	0.24742	0.00157
 34.0	 36.0	0.22857	0.00162
 36.0	 38.0	0.21842	0.00168
 38.0	 40.0	0.19984	0.00173
 40.0	 42.0	0.18909	0.00185
 42.0	 44.0	0.17115	0.00191
 44.0	 46.0	0.15538	0.00201
 46.0	 48.0	0.14352	0.00214
 48.0	 50.0	0.12839	0.00228
 50.0	 52.0	0.11869	0.00248
 52.0	 54.0	0.10975	0.00271
 54.0	 56.0	0.09403	0.00296
 56.0	 58.0	0.08271	0.00338
 58.0	 60.0	0.07850	0.00379
 60.0	 62.0	0.06871	0.00432
 62.0	 64.0	0.05106	0.00485
 64.0	 66.0	0.04346	0.00595
 66.0	 68.0	0.02528	0.00813
 68.0	 70.0	0.02333	0.00884
 70.0	 72.0	0.01645	0.01636
 72.0	 74.0	0.01231	0.02343
 74.0	 76.0	0.02327	0.02277
 76.0	 78.0	0.00618	0.01614
 78.0	 80.0	0.00900	0.02223
 80.0	 82.0	0.01734	0.01750
 82.0	 84.0	0.01012	0.02773
 84.0	 86.0	0.01284	0.06360
 86.0	 88.0	0.07257	0.14761
 88.0	 90.0	0.00019	0.08099
 90.0	 92.0	0.01760	0.08120
 92.0	 94.0	0.02720	0.02561
 94.0	 96.0	0.03757	0.09157
 96.0	 98.0	0.01063	0.06289
 98.0	100.0	0.08634	0.57800
